"Project Name","Department","Project Number","Our Winnipeg","Service","Previous Budgets","2015 Adopted","2016 Forecast","2017 Forecast","2018 Forecast","2019 Forecast","2020 Forecast"
"Regulatory Assessment of Water System Infrastructure and Supply Sources","Water and Waste","2001000715","Environment","Water","N/A *","0","450","0","0","0","0"
"Water Treatment Research and Process Optimization Facility","Water and Waste","2002500614","Environment","Water","1,880","730","0","0","0","0","0"
"Water Conservation and Efficiency Study","Water and Waste","2001002815","Environment","Water","-","230","0","0","0","0","0"
"Watershed and Asset Protection Considerations","Water and Waste","2001003015","Environment","Water","-","1,000","0","0","0","0","0"
"Water Treatment Plant Capacity Validation","Water and Waste","2002500718","Environment","Water","-","0","0","0","150","0","0"
"Branch 1 Aqueduct at Seine River - Riverbank Stabilization (East Side)","Water and Waste","20030009YY","Environment","Water","95","950","1,450","0","0","0","0"
"Study of Natural Gas Powered Backup Pumps for Hurst Pumping Station","Water and Waste","2005001318","Environment","Water","-","0","0","0","400","0","0"
"Deacon Reservoir Cell Rehabilitation","Water and Waste","20110001YY","Environment","Water","2,950","875","475","0","0","0","0"
"Deacon Booster Pumping Station Suction Header Divider Wall and Valve","Water and Waste","20050009YY","Environment","Water","200","1,000","0","0","0","0","0"
"HVAC Upgrades at Pumping Stations","Water and Waste","2005001415","Environment","Water","-","4,900","0","0","0","0","0"
"Water Treatment Plant - Projects and Review","Water and Waste","2002000115","Environment","Water","298,499","700","0","0","0","0","0"
"Saskatchewan Avenue Watermain","Water and Waste","2013500116","Environment","Water","-","0","4,600","0","0","0","0"
"North Kildonan Feedermain River Crossing Replacement / Rehabilitation","Water and Waste","2004001114","Environment","Water","3,000","2,500","0","0","0","0","0"
"Feedermain Condition Assessment and Rehabilitation","Water and Waste","20040007yy","Environment","Water","N/A *","1,000","2,000","2,000","2,000","750","1,500"
"Water and Waste Department GIS Enhancement Program","Water and Waste","20100003yy","Environment","Water","215","100","0","0","0","0","0"
"Laboratory Information Management System Upgrade","Water and Waste","20100008yy","Environment","Water","750","500","0","0","0","0","0"
"Building Renovations - 1199 Pacific Avenue","Water and Waste","2001000813","Environment","Water","156","0","0","0","0","55","0"
"Transcona Watermain Reliability Upgrade","Water and Waste","2001003115","Environment","Water","-","5,000","0","0","0","0","0"
"Online Distribution Water Quality Monitoring Pilot System","Water and Waste","2001003215","Environment","Water","-","350","0","0","0","0","0"
"Frozen Water Services Management System","Water and Waste","2001003315","Environment","Water","-","515","0","0","0","0","0"
"Watermain Renewals","Water and Waste","201300xxyy","Environment","Water","N/A *","17,000","18,000","18,500","18,500","19,000","19,500"
